RunDate,SampleID,concentration,lab_ID,animal_ID,type
6032021,Sample_X20,1,test_09,deer_01,unknown
6032021,Sample_X12,1,test_01,deer_02,unknown
6032021,Sample_X21,1,test_10,deer_03,unknown
6032021,Sample_X26,1,neg_05,deer_04,known_negative
6032021,Sample_X31,1,neg_10,deer_05,known_negative
6032021,Sample_X28,1,neg_07,deer_06,known_negative
6032021,Sample_X30,1,neg_09,deer_07,known_negative
6032021,Sample_X13,1,test_02,deer_08,unknown
6032021,Sample_X17,1,test_06,deer_09,unknown
6032021,Sample_X14,1,test_03,deer_10,unknown
6032021,Sample_X18,1,test_07,deer_11,unknown
6032021,Sample_X23,1,neg_02,deer_12,known_negative
6032021,Sample_X16,1,test_05,deer_13,unknown
6032021,Sample_X19,1,test_08,deer_14,unknown
6032021,Sample_X29,1,neg_08,deer_15,known_negative
6032021,Sample_X27,1,neg_06,deer_16,known_negative
6032021,Sample_X15,1,test_04,deer_17,unknown
6032021,Sample_X25,1,neg_04,deer_18,known_negative
6032021,Sample_X22,1,neg_01,deer_19,known_negative
6032021,Sample_X24,1,neg_03,deer_20,known_negative
6032021,Sample_X05,1,pos_02,deer_21,known_positive
6032021,Sample_X06,0.1,pos_02,deer_21,known_positive
6032021,Sample_X07,0.01,pos_02,deer_21,known_positive
6032021,Sample_X08,0.001,pos_02,deer_21,known_positive
6032021,Sample_X11,1,pos_05,deer_22,known_positive
6032021,Sample_X10,1,pos_04,deer_23,known_positive
6032021,Sample_X09,1,pos_03,deer_24,known_positive
6032021,Sample_X01,1,pos_01,deer_25,known_positive
6032021,Sample_X02,0.1,pos_01,deer_25,known_positive
6032021,Sample_X03,0.01,pos_01,deer_25,known_positive
6032021,Sample_X04,0.001,pos_01,deer_25,known_positive