sample_no,site,week,year,high_calls,low_calls,all_calls,date,type,pair,sp
BL_037,BAL,29,2015,4804,3715.714286,8680.714286,15-Jul-15,bat,A,epfu
BL_051,BAL,30,2015,350.2857143,222.8571429,627.5714286,22-Jul-15,bat,A,epfu
BL_071,BAL,31,2015,72.28571429,92.85714286,178,29-Jul-15,bat,A,epfu
BL_085,BAL,32,2015,481.5714286,97.71428571,697.2857143,5-Aug-15,bat,A,epfu
BL_101,BAL,33,2015,1837,220.1428571,2232.571429,12-Aug-15,bat,A,epfu
BL_116,BAL,34,2015,580.6666667,1039.333333,1816.333333,18-Aug-15,bat,A,epfu
BL_129,BAL,23,2016,312,1222.571429,1906,31-May-16,bat,A,epfu
BL_144,BAL,24,2016,842.8571429,1870.285714,2973,7-Jun-16,bat,A,epfu
BL_164,BAL,25,2016,13.5,2625,3142,13-Jun-16,bat,A,epfu
BL_240,BAL,29,2016,47,4141.25,4213.5,12-Jul-16,bat,A,epfu
BL_259,BAL,30,2016,2664.857143,2267.857143,5061.857143,19-Jul-16,bat,A,epfu
BL_278,BAL,31,2016,2900.428571,179.2857143,3124.142857,26-Jul-16,bat,A,epfu
BL_298,BAL,32,2016,140.5714286,570.2857143,759.1428571,2-Aug-16,bat,A,epfu
BL_318,BAL,33,2016,807,1302.428571,2184.714286,9-Aug-16,bat,A,epfu
BL_338,BAL,34,2016,4000.285714,1095.571429,5256.714286,16-Aug-16,bat,A,epfu
BL_356,BAL,35,2016,3075.714286,2387.285714,5558.142857,23-Aug-16,bat,A,epfu
BL_376,BAL,36,2016,133,273.6666667,441.3333333,30-Aug-16,bat,A,epfu
BL_045,COO,30,2015,29081.33333,396.3333333,29638.83333,21-Jul-15,bat,B,epfu
BL_063,COO,31,2015,898.8571429,314.5714286,1331.857143,28-Jul-15,bat,B,epfu
BL_081,COO,32,2015,3310.571429,236,3735.285714,2-Aug-15,bat,B,epfu
BL_095,COO,33,2015,595.1428571,115.5714286,758.5714286,11-Aug-15,bat,B,epfu
BL_120,COO,34,2015,35.66666667,25.33333333,61,19-Aug-15,bat,B,epfu
BL_130,COO,23,2016,23716.71429,588.1428571,24376.71429,31-May-16,bat,B,epfu
BL_152,COO,24,2016,23694.57143,309.7142857,24056.14286,8-Jun-16,bat,B,epfu
BL_172,COO,25,2016,17638,402.7142857,18090.71429,15-Jun-16,bat,B,epfu
BL_190,COO,26,2016,19168.28571,351,19570.42857,22-Jun-16,bat,B,epfu
BL_208,COO,27,2016,8314.142857,316.8571429,8648.571429,29-Jun-16,bat,B,epfu
BL_228,COO,28,2016,32245.14286,718.7142857,32988.71429,6-Jul-16,bat,B,epfu
BL_247,COO,29,2016,12845.57143,878.7142857,13743.57143,13-Jul-16,bat,B,epfu
BL_266,COO,30,2016,3194.5,227,3436.75,20-Jul-16,bat,B,epfu
BL_286,COO,31,2016,4934.5,54,5013,27-Jul-16,bat,B,epfu
BL_306,COO,32,2016,1585.428571,31,1644,3-Aug-16,bat,B,epfu
BL_326,COO,33,2016,46.85714286,16.85714286,65,10-Aug-16,bat,B,epfu
BL_345,COO,34,2016,600.8571429,29.57142857,631.8571429,17-Aug-16,bat,B,epfu
BL_364,COO,35,2016,95.66666667,56.33333333,161.3333333,24-Aug-16,bat,B,epfu
BL_384,COO,36,2016,60,38.5,99.5,31-Aug-16,bat,B,epfu
BL_038,FOS,29,2015,6.8,7.8,14.6,15-Jul-15,bug,A,none
BL_052,FOS,30,2015,551.5714286,63.28571429,633,22-Jul-15,bug,A,none
BL_072,FOS,31,2015,2918.428571,41.57142857,2968,29-Jul-15,bug,A,none
BL_086,FOS,32,2015,3.857142857,21.14285714,26.14285714,5-Aug-15,bug,A,none
BL_102,FOS,33,2015,0.4,10.4,12.4,12-Aug-15,bug,A,none
BL_117,FOS,34,2015,14,13,33,18-Aug-15,bug,A,none
BL_132,FOS,23,2016,9,309,322.5714286,31-May-16,bug,A,none
BL_145,FOS,24,2016,16.28571429,186.5714286,208.4285714,7-Jun-16,bug,A,none
BL_165,FOS,25,2016,3.142857143,175.5714286,182.5714286,13-Jun-16,bug,A,none
BL_201,FOS,27,2016,1,185.8571429,190.8571429,28-Jun-16,bug,A,none
BL_221,FOS,28,2016,1.571428571,32.71428571,35.14285714,5-Jul-16,bug,A,none
BL_241,FOS,29,2016,2,32.6,36.4,12-Jul-16,bug,A,none
BL_260,FOS,30,2016,9.714285714,74.14285714,90.14285714,19-Jul-16,bug,A,none
BL_279,FOS,31,2016,7.2,16.8,24,26-Jul-16,bug,A,none
BL_299,FOS,32,2016,3.333333333,22.33333333,25.66666667,2-Aug-16,bug,A,none
BL_319,FOS,33,2016,1.333333333,5.666666667,9.333333333,9-Aug-16,bug,A,none
BL_357,FOS,35,2016,0,49,49,23-Aug-16,bug,A,none
BL_377,FOS,36,2016,0,37.33333333,37.33333333,30-Aug-16,bug,A,none
BL_397,FOS,37,2016,0,6,7.5,6-Sep-16,bug,A,none
BL_033,GOV,29,2015,1311.428571,1133.142857,2598,14-Jul-15,bat,D,mylu
BL_048,GOV,30,2015,1047.142857,444.5714286,1562.428571,21-Jul-15,bat,D,mylu
BL_066,GOV,31,2015,1515.714286,87,1633.857143,28-Jul-15,bat,D,mylu
BL_098,GOV,33,2015,2.666666667,4,18.66666667,11-Aug-15,bat,D,mylu
BL_112,GOV,34,2015,4,19,23,17-Aug-15,bat,D,mylu
BL_155,GOV,24,2016,46.85714286,89.14285714,161.7142857,8-Jun-16,bat,D,mylu
BL_193,GOV,26,2016,194.4285714,630.2857143,919.7142857,22-Jun-16,bat,D,mylu
BL_211,GOV,27,2016,245.6,388.4,645.6,29-Jun-16,bat,D,mylu
BL_231,GOV,28,2016,383,569.5,1025,6-Jul-16,bat,D,mylu
BL_250,GOV,29,2016,288.2857143,1621.428571,2064.571429,13-Jul-16,bat,D,mylu
BL_269,GOV,30,2016,260.7142857,1009.857143,1681.142857,20-Jul-16,bat,D,mylu
BL_289,GOV,31,2016,19.66666667,286.6666667,325.6666667,27-Jul-16,bat,D,mylu
BL_309,GOV,32,2016,0,2,4,3-Aug-16,bat,D,mylu
BL_329,GOV,33,2016,1.285714286,8.714285714,11.28571429,10-Aug-16,bat,D,mylu
BL_367,GOV,35,2016,2.2,30.6,32.8,24-Aug-16,bat,D,mylu
BL_387,GOV,36,2016,1.25,29.25,30.5,31-Aug-16,bat,D,mylu
BL_412,GOV,37,2016,2,37.33333333,39.66666667,9-Sep-16,bat,D,mylu
BL_043,HAL,29,2015,50.85714286,760.2857143,914.7142857,16-Jul-15,bug,E,none
BL_058,HAL,30,2015,63.28571429,958,1186.142857,23-Jul-15,bug,E,none
BL_078,HAL,31,2015,38.28571429,195.7142857,335.5714286,30-Jul-15,bug,E,none
BL_092,HAL,32,2015,49.71428571,164.7142857,260.5714286,6-Aug-15,bug,E,none
BL_125,HAL,34,2015,16.2,59,99.4,20-Aug-15,bug,E,none
BL_158,HAL,24,2016,17.42857143,302.7142857,330.4285714,9-Jun-16,bug,E,none
BL_177,HAL,25,2016,22,268,319.4285714,16-Jun-16,bug,E,none
BL_196,HAL,26,2016,24.28571429,94.28571429,176.8571429,23-Jun-16,bug,E,none
BL_214,HAL,27,2016,11.28571429,130.2857143,209,30-Jun-16,bug,E,none
BL_234,HAL,28,2016,78.42857143,437,560.4285714,7-Jul-16,bug,E,none
BL_253,HAL,29,2016,17.42857143,410.7142857,547.8571429,14-Jul-16,bug,E,none
BL_272,HAL,30,2016,27.57142857,478.1428571,627,21-Jul-16,bug,E,none
BL_292,HAL,31,2016,20.14285714,396.7142857,438,28-Jul-16,bug,E,none
BL_312,HAL,32,2016,11.71428571,76.42857143,96,4-Aug-16,bug,E,none
BL_332,HAL,33,2016,9.428571429,43.85714286,55,11-Aug-16,bug,E,none
BL_350,HAL,34,2016,5.857142857,16.85714286,24.57142857,18-Aug-16,bug,E,none
BL_370,HAL,35,2016,6.428571429,61.28571429,75.57142857,25-Aug-16,bug,E,none
BL_390,HAL,36,2016,5.333333333,45.16666667,52.33333333,1-Sep-16,bug,E,none
BL_005,HES,25,2015,4798.857143,162.1428571,5011.571429,17-Jun-15,bat,F,mylu
BL_018,HES,27,2015,6530.428571,75.28571429,6775.571429,1-Jul-15,bat,F,mylu
BL_023,HES,28,2015,18952.71429,163.5714286,19374,8-Jul-15,bat,F,mylu
BL_039,HES,29,2015,33839.71429,269,34339.85714,15-Jul-15,bat,F,mylu
BL_053,HES,30,2015,45395.14286,104,46166.71429,22-Jul-15,bat,F,mylu
BL_073,HES,31,2015,8164.714286,16.28571429,8626.285714,29-Jul-15,bat,F,mylu
BL_087,HES,32,2015,2750.428571,8.142857143,4184.571429,5-Aug-15,bat,F,mylu
BL_103,HES,33,2015,2053.714286,26.85714286,2504.571429,12-Aug-15,bat,F,mylu
BL_138,HES,23,2016,639.8571429,204,1104.571429,2-Jun-16,bat,F,mylu
BL_146,HES,24,2016,1366,184.5714286,1688,7-Jun-16,bat,F,mylu
BL_166,HES,25,2016,717.1428571,74.42857143,1033.142857,13-Jun-16,bat,F,mylu
BL_184,HES,26,2016,1677.142857,156.8571429,2174.142857,21-Jun-16,bat,F,mylu
BL_202,HES,27,2016,303.4285714,123,465.1428571,28-Jun-16,bat,F,mylu
BL_222,HES,28,2016,2210.428571,162.8571429,2484.285714,5-Jul-16,bat,F,mylu
BL_242,HES,29,2016,68.83333333,64.83333333,238.1666667,12-Jul-16,bat,F,mylu
BL_261,HES,30,2016,0,1,21,19-Jul-16,bat,F,mylu
BL_280,HES,31,2016,0,1.666666667,9.333333333,26-Jul-16,bat,F,mylu
BL_300,HES,32,2016,1,10.75,23.25,2-Aug-16,bat,F,mylu
BL_320,HES,33,2016,2,0,2,9-Aug-16,bat,F,mylu
BL_358,HES,35,2016,0.6,9.6,12,23-Aug-16,bat,F,mylu
BL_378,HES,36,2016,0,25.2,25.6,30-Aug-16,bat,F,mylu
BL_398,HES,37,2016,4,3,7,6-Sep-16,bat,F,mylu
BL_006,HOR,25,2015,24.57142857,158.8571429,185.1428571,17-Jun-15,bat,G,epfu
BL_010,HOR,26,2015,21.14285714,242,286.2857143,24-Jun-15,bat,G,epfu
BL_024,HOR,28,2015,7,538,4698.75,8-Jul-15,bat,G,epfu
BL_040,HOR,29,2015,21.28571429,301.7142857,350,15-Jul-15,bat,G,epfu
BL_054,HOR,30,2015,8.333333333,35.16666667,46.83333333,22-Jul-15,bat,G,epfu
BL_074,HOR,31,2015,0,8.5,8.5,29-Jul-15,bat,G,epfu
BL_088,HOR,32,2015,0,7.5,7.5,5-Aug-15,bat,G,epfu
BL_104,HOR,33,2015,0,18,18.66666667,12-Aug-15,bat,G,epfu
BL_123,HOR,34,2015,1.5,1,2.5,19-Aug-15,bat,G,epfu
BL_139,HOR,23,2016,8.142857143,251.5714286,292.7142857,2-Jun-16,bat,G,epfu
BL_147,HOR,24,2016,3.571428571,105.4285714,118.8571429,7-Jun-16,bat,G,epfu
BL_167,HOR,25,2016,8.333333333,67.33333333,102,13-Jun-16,bat,G,epfu
BL_185,HOR,26,2016,9,266.6,278.4,21-Jun-16,bat,G,epfu
BL_203,HOR,27,2016,5.833333333,546,552.3333333,28-Jun-16,bat,G,epfu
BL_223,HOR,28,2016,3.2,201.6,219.4,5-Jul-16,bat,G,epfu
BL_243,HOR,29,2016,0,153.7142857,177.8571429,12-Jul-16,bat,G,epfu
BL_262,HOR,30,2016,0,61.2,73.6,19-Jul-16,bat,G,epfu
BL_281,HOR,31,2016,0,0,3,26-Jul-16,bat,G,epfu
BL_301,HOR,32,2016,7,0,8,2-Aug-16,bat,G,epfu
BL_341,HOR,34,2016,3,0,3,16-Aug-16,bat,G,epfu
BL_020,KER,27,2015,2446,244.5714286,2794.142857,2-Jul-15,bat,H,mylu
BL_027,KER,28,2015,519.4,285.4,859.4,9-Jul-15,bat,H,mylu
BL_044,KER,29,2015,3099.333333,937.6666667,4361.333333,16-Jul-15,bat,H,mylu
BL_079,KER,31,2015,267.8571429,117.4285714,460,30-Jul-15,bat,H,mylu
BL_093,KER,32,2015,119.7142857,47.71428571,231.4285714,6-Aug-15,bat,H,mylu
BL_107,KER,33,2015,667.4285714,106.5714286,785.7142857,13-Aug-15,bat,H,mylu
BL_126,KER,34,2015,320.6,27,349.6,20-Aug-15,bat,H,mylu
BL_178,KER,25,2016,212.7142857,434.1428571,730.5714286,16-Jun-16,bat,H,mylu
BL_197,KER,26,2016,1306.571429,400.4285714,1842.571429,23-Jun-16,bat,H,mylu
BL_215,KER,27,2016,1037.666667,210.3333333,1362.5,30-Jun-16,bat,H,mylu
BL_235,KER,28,2016,6678.5,271,7540.5,7-Jul-16,bat,H,mylu
BL_254,KER,29,2016,345.6666667,190,967.6666667,14-Jul-16,bat,H,mylu
BL_273,KER,30,2016,279.3333333,693.3333333,1371,21-Jul-16,bat,H,mylu
BL_293,KER,31,2016,440.5,10.5,472,28-Jul-16,bat,H,mylu
BL_313,KER,32,2016,15.5,14.83333333,35.33333333,4-Aug-16,bat,H,mylu
BL_333,KER,33,2016,10.6,7.8,20.6,11-Aug-16,bat,H,mylu
BL_351,KER,34,2016,13.14285714,9.571428571,26.71428571,18-Aug-16,bat,H,mylu
BL_371,KER,35,2016,11.42857143,31.57142857,48,25-Aug-16,bat,H,mylu
BL_391,KER,36,2016,13.57142857,71.71428571,87.57142857,1-Sep-16,bat,H,mylu
BL_404,KER,37,2016,6.2,32.6,39.2,8-Sep-16,bat,H,mylu
BL_011,KIE,26,2016,3.142857143,13.85714286,39.14285714,24-Jun-15,bug,F,none
BL_025,KIE,28,2015,1143.285714,50.28571429,1395,8-Jul-15,bug,F,none
BL_041,KIE,29,2015,7539.428571,780.5714286,8528.857143,15-Jul-15,bug,F,none
BL_075,KIE,31,2015,781.2,3.8,2537.6,29-Jul-15,bug,F,none
BL_089,KIE,32,2015,38.8,17,75.6,5-Aug-15,bug,F,none
BL_105,KIE,33,2015,6,3,16.75,12-Aug-15,bug,F,none
BL_118,KIE,34,2015,1,3.5,4.5,18-Aug-15,bug,F,none
BL_140,KIE,23,2016,0.142857143,137.2857143,151.4285714,2-Jun-16,bug,F,none
BL_148,KIE,24,2016,81,61,149.6666667,7-Jun-16,bug,F,none
BL_168,KIE,25,2016,10.85714286,69.42857143,95.42857143,13-Jun-16,bug,F,none
BL_186,KIE,26,2016,3.142857143,13.85714286,39.14285714,21-Jun-16,bug,F,none
